,name,min salary,max salary,currency,vac_link,site
146,Рабочий на обувную фабрику,40000,95000,руб.,https://hh.ru/vacancy/69496118?query=%D1%88%D0%B2%D0%B5%D1%8F,https://hh.ru
147,Швея,70000,,руб.,https://hh.ru/vacancy/69541507?query=%D1%88%D0%B2%D0%B5%D1%8F,https://hh.ru
148,Швея-портной,67000,111000,руб.,https://hh.ru/vacancy/69490542?query=%D1%88%D0%B2%D0%B5%D1%8F,https://hh.ru
149,Швея-универсал,75000,120000,руб.,https://hh.ru/vacancy/69474839?query=%D1%88%D0%B2%D0%B5%D1%8F,https://hh.ru
150,Швея,50000,85000,руб.,https://hh.ru/vacancy/69573285?query=%D1%88%D0%B2%D0%B5%D1%8F,https://hh.ru
151,Портной-швея на производство одежды,80000,,руб.,https://hh.ru/vacancy/68808316?query=%D1%88%D0%B2%D0%B5%D1%8F,https://hh.ru
152,Швея,80000,150000,руб.,https://hh.ru/vacancy/69487989?query=%D1%88%D0%B2%D0%B5%D1%8F,https://hh.ru
153,Швея-портной,50000,90000,руб.,https://hh.ru/vacancy/69024384?query=%D1%88%D0%B2%D0%B5%D1%8F,https://hh.ru
154,Швея на производство,45000,,руб.,https://hh.ru/vacancy/69378479?query=%D1%88%D0%B2%D0%B5%D1%8F,https://hh.ru
155,Швея,35000,47000,руб.,https://hh.ru/vacancy/68786043?query=%D1%88%D0%B2%D0%B5%D1%8F,https://hh.ru
156,Швея-портной,50000,90000,руб.,https://hh.ru/vacancy/69391716?query=%D1%88%D0%B2%D0%B5%D1%8F,https://hh.ru
157,Швея-портной,80000,150000,руб.,https://hh.ru/vacancy/69268910?query=%D1%88%D0%B2%D0%B5%D1%8F,https://hh.ru
158,Швея-портной (экспериментальный цех),,,,https://hh.ru/vacancy/69502908?query=%D1%88%D0%B2%D0%B5%D1%8F,https://hh.ru
159,Портной / портной-лаборант,,85000,руб.,https://hh.ru/vacancy/69029246?query=%D1%88%D0%B2%D0%B5%D1%8F,https://hh.ru
160,Швея-портной,60000,120000,руб.,https://hh.ru/vacancy/69480202?query=%D1%88%D0%B2%D0%B5%D1%8F,https://hh.ru
161,Швея-портной,70000,80000,руб.,https://hh.ru/vacancy/69324590?query=%D1%88%D0%B2%D0%B5%D1%8F,https://hh.ru
162,Швея,80000,,руб.,https://hh.ru/vacancy/69479385?query=%D1%88%D0%B2%D0%B5%D1%8F,https://hh.ru
163,Швея,40000,50000,руб.,https://hh.ru/vacancy/69528915?query=%D1%88%D0%B2%D0%B5%D1%8F,https://hh.ru
164,Швея,50000,,руб.,https://hh.ru/vacancy/69539821?query=%D1%88%D0%B2%D0%B5%D1%8F,https://hh.ru
165,Швея-портной,,,,https://hh.ru/vacancy/67961743?query=%D1%88%D0%B2%D0%B5%D1%8F,https://hh.ru
166,Швея,,,,https://hh.ru/vacancy/69540796?query=%D1%88%D0%B2%D0%B5%D1%8F,https://hh.ru
167,Швея-портной,,,,https://hh.ru/vacancy/69146892?query=%D1%88%D0%B2%D0%B5%D1%8F,https://hh.ru
168,Раскройщик (закройщик) - швея,60000,100000,руб.,https://hh.ru/vacancy/69450126?query=%D1%88%D0%B2%D0%B5%D1%8F,https://hh.ru
169,Швея шторы,60000,90000,руб.,https://hh.ru/vacancy/69593857?query=%D1%88%D0%B2%D0%B5%D1%8F,https://hh.ru
170,Швея-универсал,,,,https://hh.ru/vacancy/69547199?query=%D1%88%D0%B2%D0%B5%D1%8F,https://hh.ru
171,Швея - портной на производство мягкой мебели (Нахабино),60000,100000,руб.,https://hh.ru/vacancy/69115878?query=%D1%88%D0%B2%D0%B5%D1%8F,https://hh.ru
172,Швея-лаборант,,,,https://hh.ru/vacancy/69287110?query=%D1%88%D0%B2%D0%B5%D1%8F,https://hh.ru
173,Швея,,,,https://hh.ru/vacancy/69487845?query=%D1%88%D0%B2%D0%B5%D1%8F,https://hh.ru
174,Швея-портной,40000,60000,руб.,https://hh.ru/vacancy/69372509?query=%D1%88%D0%B2%D0%B5%D1%8F,https://hh.ru
175,"Швея на производство по пошиву пледов, термосумок и шоперов",135000,150000,руб.,https://hh.ru/vacancy/69389611?query=%D1%88%D0%B2%D0%B5%D1%8F,https://hh.ru
176,Швея-портной,70000,,руб.,https://hh.ru/vacancy/69426067?query=%D1%88%D0%B2%D0%B5%D1%8F,https://hh.ru
177,Швея/Портной,60000,100000,руб.,https://hh.ru/vacancy/37047774?query=%D1%88%D0%B2%D0%B5%D1%8F,https://hh.ru
178,Швея-портная/портной,60000,100000,руб.,https://hh.ru/vacancy/68808576?query=%D1%88%D0%B2%D0%B5%D1%8F,https://hh.ru
179,Швея-портной (м. Мякинино),42000,,руб.,https://hh.ru/vacancy/67645625?query=%D1%88%D0%B2%D0%B5%D1%8F,https://hh.ru
180,Швея м. Крылатское,,,,https://hh.ru/vacancy/66553846?query=%D1%88%D0%B2%D0%B5%D1%8F,https://hh.ru
181,Швея на производство,40000,55000,руб.,https://hh.ru/vacancy/69511255?query=%D1%88%D0%B2%D0%B5%D1%8F,https://hh.ru
182,Швея,50000,100000,руб.,https://hh.ru/vacancy/69209424?query=%D1%88%D0%B2%D0%B5%D1%8F,https://hh.ru
183,Швея-лаборант,60000,,руб.,https://hh.ru/vacancy/69124890?query=%D1%88%D0%B2%D0%B5%D1%8F,https://hh.ru
184,Портной,50000,90000,руб.,https://hh.ru/vacancy/68985309?query=%D1%88%D0%B2%D0%B5%D1%8F,https://hh.ru
185,Швея по пошиву штор,40000,80000,руб.,https://hh.ru/vacancy/69447946?query=%D1%88%D0%B2%D0%B5%D1%8F,https://hh.ru
186,Швея-лаборант,60000,60000,руб.,https://hh.ru/vacancy/69588466?query=%D1%88%D0%B2%D0%B5%D1%8F,https://hh.ru
187,Швея-портной,25000,100000,руб.,https://hh.ru/vacancy/69454252?query=%D1%88%D0%B2%D0%B5%D1%8F,https://hh.ru
188,Швея-лаборант,60000,,руб.,https://hh.ru/vacancy/69424409?query=%D1%88%D0%B2%D0%B5%D1%8F,https://hh.ru
189,Швея,65000,85000,руб.,https://hh.ru/vacancy/68897373?query=%D1%88%D0%B2%D0%B5%D1%8F,https://hh.ru
190,Швея-портной,70000,110000,руб.,https://hh.ru/vacancy/69373721?query=%D1%88%D0%B2%D0%B5%D1%8F,https://hh.ru
191,Швея,60000,70000,руб.,https://hh.ru/vacancy/69540404?query=%D1%88%D0%B2%D0%B5%D1%8F,https://hh.ru
192,Швея,70000,100000,руб.,https://hh.ru/vacancy/69356237?query=%D1%88%D0%B2%D0%B5%D1%8F,https://hh.ru
193,Швея-портной - универсал,70000,,руб.,https://hh.ru/vacancy/69095401?query=%D1%88%D0%B2%D0%B5%D1%8F,https://hh.ru
194,Швея,80000,120000,руб.,https://hh.ru/vacancy/69304442?query=%D1%88%D0%B2%D0%B5%D1%8F,https://hh.ru
195,Швея-портной,,90000,руб.,https://hh.ru/vacancy/69365285?query=%D1%88%D0%B2%D0%B5%D1%8F,https://hh.ru
196,Швея (Black star Wear),,,,https://hh.ru/vacancy/55444670?query=%D1%88%D0%B2%D0%B5%D1%8F,https://hh.ru
197,Швея-портной,30000,,руб.,https://hh.ru/vacancy/69447520?query=%D1%88%D0%B2%D0%B5%D1%8F,https://hh.ru
198,Швея (Старший мастер швейного производства),60000,65000,руб.,https://hh.ru/vacancy/69384109?query=%D1%88%D0%B2%D0%B5%D1%8F,https://hh.ru
